1;EcoNest;Par agence de 4, nous avons imaginé un produit écologique et une marque autour du produit. Nous avons choisi de créer EcoNest et plus précisément, un meuble en bois recyclé pratique et solide pour des étudiants. Pour commencer, nous avons réalisé tout un dossier marketing, on a analysé la concurrence, réfléchi à des objectifs marketings et communicationnels pour cette marque et nous avons aussi créé un persona. Ensuite, on a réfléchi à la direction artistique de notre marque. On voulait une marque dynamique et professionnelle, qui attire des étudiants et donne confiance en nos produits. On a créé une vidéo promotionnelle pour ce meuble (disponible en suivant le lien ci-dessous), créé un site web avec WordPress et écrit un article journalistique qui met en avant notre marque.;S2 MMI1;Marketing - communication - culture artistique - audiovisuel (photo / vidéo / son) - graphisme - développement web;Affinity Designer, Photo - DaVinci Resolve - PenPot - WordPress;https://perso.univ-lemans.fr/~i2400974/portfoliov3/images/projets/Econest - video promotionnelle.mp4;Econest - Affiche1.png|Econest - Affiche2.png|Econest - Logo.png;Econest - Article de presse.pdf|Econest - Charte graphique.pdf|Econest - Direction artistique.pdf|Econest - Dossier de production.pdf|Econest - Marketing.pdf
2;ArtExplore;Par binômes, nous avons imaginé une nouvelle application et créé un dossier marketing complet. Notre application, ArtExplore, recense tous les lieux liés à l'art présents en France. Elle permet aussi d'acheter du matériel d'art. Nous avons utilisé Trello pour partager les tâches, mettre des dates limite et suivre l'avancement du projet. Tout notre dossier marketing est dans un padlet qui permet d'organiser nos fichiers efficacement.;S1 MMI1;Marketing;Trello - Padlet;https://padlet.com/timotheethorel/sae-102-artexplore-timoth-e-thorel-lindsay-chouteau-td12-202-8j3o2p4bad6y4hu5;artexplore_mapping_client.jpg|artexplore_swot.jpg|artexplore_pestel.jpg;artexplore_presentation_marque.pdf|artexplore_plan_communication.pdf|artexplore_marketing_influence.pdf|artexplore_marketing_strategique.pdf|artexplore_rse.pdf
3;GeekLife (Proposition pour un projet fictif);J'ai créé une affiche promotionnelle pour le festival GeekLife. Ce festival met en avant des mangas, jeux vidéo, cuisine et univers asiatique. Pour réaliser l'affiche, j'ai pris en photo 2 objets pour les intégrer dans l'affiche. Ensuite, j'ai désigné l'affiche en créant un fond, puis en intégrant ces photos et d'autres personnages pour réunir le plus d'univers possible. J'ai ajouté les informations importantes puis les logos des partenaires fictifs. Pour le verso de l'affiche, j'ai imaginé un programme pour ce festival, j'ai ajouté un plan fictif et des informations utiles. Autour de l'affiche, j'ai aussi réfléchi aux billets, aux réseaux sociaux ou encore au merch...;S1 MMI1;Design graphique;Studio photo - Affinity Photo, Publisher;;geeklife_affiche-v2-2.png|geeklife_croquis.jpg|geeklife_affiche-v1.jpg|geeklife_affiche-v2-2|geeklife_logo.png|geeklife_croquis_logo.jpg|geeklife_billet.png|geeklife_pictogrammes.png|geeklife_stickers.png|geeklife_instagram.png|geeklife_siteweb.png|geeklife_casquette.png|geeklife_gobelets.png|geeklife_pub.png|geeklife_totebag.png;GeekLife - Dossier de conception (PROJET FICTIF UNIVERSITAIRE).pdf
4;Sonarium;Par binômes, nous avons imaginé un site de jeu pédagogique sur les sons. Nous avons réfléchi à 3 types de jeux différents, avec plusieurs thèmes : les instruments, les notes de musique et les compositeurs. Sur notre site Sonarium, il y a donc un jeu de choix multiple, un jeu de classement et un memory. Pour créer ce site, nous avons créé une base de données et avec PHP, nous avons lié cette BDD à nos jeux. Ensuite avec du html, du css et du javascript, nous avons codé chaque jeu. De plus, la création d'un compte utilisateur est nécessaire et nous avons mis en place dans la base de données, le fait d'enregistrer des informations sur ces comptes utilisateurs comme le pseudo, le mail, le nombre de points et son avancée dans le jeu. Par manque de temps, nous n'avons fait les jeux que pour le thème des instruments.;S2 MMI1;Développement web;VSCode (HTML, CSS, JavaScript, PHP);https://exemple.com/projet1;img1.jpg|img2.jpg|img3.jpg;doc1.pdf|doc2.pdf
5;Teazen;J'ai créé une marque de boisson et réfléchi à tout le design de la marque. Teazen est une marque de thé aux fruits qui se boit en canette ou en bouteille. On peut même la boire chez soi grâce aux sachets qu'il faut faire infuser dans l'eau. Pour créer cette marque, j'ai choisi de partir sur des fruits frais que j'ai dessinés en vectoriel sur affinity. Puis j'ai réfléchi au design des canettes, et j'ai ajouté toutes les informations utiles et obligatoires. J'ai designé les étiquettes des bouteilles, les sachets de thé, la carte de visite et le site web. Pour chacun, j'ai designé le projet sur affinity, puis j'ai testé mes designs sur des mockups. J'ai codé un site vitrine rapide, qui permet d'avoir une idée du site. Pour finir, j'ai réalisé une vidéo promotionnelle que j'ai intégrée au site.;S2 MMI1;Design graphique;Affinity Designer, Photo;https://exemple.com/projet1;img1.jpg|img2.jpg|img3.jpg;doc1.pdf|doc2.pdf
6;Peanuts;Pour ce projet, j'ai choisi de travailler sur le thème des Peanuts. On devait créer un flyer en plis croisés. C'est-à-dire avec un recto et un verso, des informations à l'intérieur du flyer, et quand on le déplie complètement, une affiche A3. J'ai commencé par chercher de l'inspiration à travers certaines affiches de films et j'ai décidé d'utiliser seulement des personnages dans mon affiche. Le tout dans une composition en triangle qui met en avant Snoopy au centre. Pour les informations à l'intérieur du flyer, on retrouve des informations simples mais utiles sur la création de Peanuts, son auteur et son histoire. Au verso du flyer, il y a une histoire de la BD Peanuts.;S2 MMI1;Design graphique;Affinity Publisher;;peanuts_affiche.jpg|peanuts_affiche_1.jpg|peanuts_affiche_2.jpg|peanuts_affiche_verso.jpg;Peanuts - Dossier de conception.pdf
7;Chaumont;À partir de photographies et de textes imposés par le sujet, j'ai créé un flyer qui met en avant l'art dans le domaine de Chaumont. Pour cela, j'ai sélectionné quelques photos parmi celles données. J'ai réfléchi à une mise en page originale et compréhensible pour mettre en avant les œuvres du domaine et les informations utiles. On y retrouve donc des photos d'œuvres, ainsi que des restaurants et toutes les informations sur les tarifs, les horaires et le domaine de Chaumont en général.;S1 MMI1;Design graphique;Affinity Publisher;;chaumont_1.jpg|chaumont_2.jpg|consigne_chaumont.jpg;
8;Mascotte;J'ai créé cette mascotte en partant de mes qualités et d'un animal totem. Pour commencer, j'ai réfléchi à quelques-unes de mes qualités dans le cadre professionnel : la patience, la créativité, le calme et la productivité. Puis j'ai choisi un animal qui possède certaines de ces qualités : l'araignée. À partir de là, j'ai réfléchi à une mascotte qui met en avant tout ca. J'ai choisi de garder une petite fille et de lui ajouter des caractéristiques de l'araignée : je lui ai jouté des pattes dans le dos et sa tenue noir et rouge fait référence à l'araignée la veuve noire. J'ai dessiné cette mascotte en digital, de face, de 3/4, de profil et de dos. Puis je l'ai coloré et finalement, j'ai créé un GIF.;S1 MMI1;Culture artistique;Affinity Designer - DaVinci Resolve (GIF);;mascotte_couleur_vf.jpg|mascotte_couleur.jpg|mascotte_face.jpg|mascotte_34.jpg|mascotte_profil.jpg|mascotte_dos.jpg|mascotte_tout.jpg;Mascotte - Dossier de conception.pdf
9;Aux Frontières du Réel;J'ai réalisé un montage vidéo de 3 photomontages pour faire la promotion d'une exposition d'art dans la rue. Pour commencer, j'ai réfléchi à une petite histoire, que j'ai ensuite transposée dans un story-board. Pour cette vidéo, je devais prendre 3 photos et grâce au montage, je pouvais animer ces photos en zoomant, dézoomant et en me déplaçant dans ces photos. J'ai choisi de prendre les photos d'un personnage qui regarde des œuvres reliées à un fil, accrochées sur les murs. En photomontage, j'ai ajouté les œuvres et le fil, puis j'ai animé le tout. Pour finir, j'ai choisi la musique libre de droit et j'ai créé une infographie avec le logo et les informations utiles.;S1 MMI1;Audiovisuel;Affinity Photo - DaVinci Resolve;https://perso.univ-lemans.fr/~i2400974/portfoliov3/images/projets/video.mp4;video_fond1.jpg|video_fond2.jpg|video_fond3.jpg|video_montage1.jpg|video_montage2.jpg|video_montage3.jpg|video_logo.png;Video - Fiche scénario.pdf|Video - Scénario.pdf|Video - Note dintention.pdf|Video - Storyboard.pdf
10;Gamop;Par groupe de 3, nous avons imaginé une application et créé tout le cahier des charges de la création de cette application. Nous avons choisi de créer une application qui permet d'acheter des jeux vidéo en ligne. Dans le cahier des charges, on retrouve des informations techniques sur les serveurs et base de données de l'application. Il y a aussi des informations sur la sécurité et les fonctionnalités de l'application. Nous avons aussi imaginé quelques maquettes de pages de l'application pour présenter visuellement notre idée.;S1 MMI1;Gestion de projet;;;gamop_chartre.png|gamop_page-accueil.png|gamop_page_jeu-vidéo.png;Gamop - Cahier des charges.pdf
